,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
88,"Scott, VA",256118,25075,38187,27172,345248,-3808,-4553,38661,715785,25559,32915,711977,127791,108276,258453,21631,2482,21006,51773,7823,5341,183339,2018
89,"Shenandoah, VA",870876,63374,107494,85350,1151944,10712,6628,106049,1917009,111266,44352,1927721,387117,359953,415824,43464,5735,117894,150169,21136,15401,602813,2018
90,"Smyth, VA",647728,48906,102635,69622,563253,-3422,-5459,83717,1100502,35267,35959,1097080,-758,168273,365554,30509,2868,29808,137446,15829,12961,480474,2018
91,"Southampton + Franklin, VA*",423209,32038,66436,43650,562571,4455,-366,53863,1048112,26358,40813,1052567,193225,200229,289767,25790,2573,25992,88261,11270,8697,308956,2018
92,"Spotsylvania + Fredericksburg, VA*",3973683,254146,455952,413824,5543966,1059,-626,461058,8278124,395465,50610,8279183,2031341,1498449,1236768,163589,19764,394839,662864,85370,65606,2915980,2018
93,"Stafford, VA",3559051,216862,498100,376156,5884787,-4189,-4698,404940,8216333,250015,54787,8212144,2730676,1323093,1004264,149891,17025,245317,686178,65743,48718,2627556,2018
94,"Suffolk (Independent City), VA",2231688,144475,288164,244158,2960159,16885,4924,266554,4593687,141217,50591,4610572,995025,808600,841813,91135,10245,146141,410243,44258,34013,1675304,2018
95,"Surry, VA",281127,17272,46830,29508,172942,-1236,-2140,32026,283109,4555,43803,281873,-76159,38383,70548,6435,770,2415,61584,3405,2635,217128,2018
96,"Sussex, VA",202270,14480,32733,21662,176694,35,-1549,25311,338895,7829,30278,338930,-265,51961,110275,11194,931,6280,43564,4740,3809,152426,2018
97,"Tazewell, VA",844376,65314,119115,89178,765589,1802,627,109903,1520033,69926,36981,1521835,31116,236627,519619,41152,3485,70553,163704,19378,15893,610119,2018
98,Virginia,334435477,20565737,39168914,35490844,316992086,287856,-16156,38311159,484648971,27175205,56978,484936827,20867768,100361594,67583147,8510920,1111606,27159049,56914336,5298892,4187286,250362092,2018
99,"Virginia Beach (Independent City), VA",13756874,820580,1780859,1494560,15810698,-3910,-5741,1567860,25214658,1371838,55963,25210748,3621684,5780772,3619278,450488,59745,1366097,2528139,269425,209680,9862638,2018
100,"Warren, VA",786688,54085,97255,83666,1225031,-1945,-2843,95918,1831382,79769,45672,1829437,534261,284252,320154,40056,4719,76926,139088,18422,13703,570674,2018
101,"Washington + Bristol, VA*",1679991,122272,231926,176950,1417175,-1780,-5604,210747,2806587,153854,39541,2804807,-52069,591232,796400,70935,8425,148250,320401,40056,31631,1211340,2018
102,"Westmoreland, VA",205088,17724,26838,18540,386175,20430,14618,26994,752699,26142,43390,773129,208081,190164,196790,17818,2158,40760,36108,6075,3917,128220,2018
103,"Wise + Norton, VA*",819242,63390,129228,89872,611913,-702,-817,108326,1334276,42406,31879,1333574,-99003,176876,544785,41833,2687,41589,174164,18838,16151,603489,2018
104,"Wythe, VA",608575,45219,88044,64536,522410,-2700,-5790,77487,998955,49804,34762,996255,-8678,152372,321473,28659,3272,44014,120312,15448,12176,444249,2018
105,"York + Poquoson, VA*",1565472,104669,208629,169760,3005432,1436,479,189549,4664047,141455,58119,4665483,1629509,1038254,621797,80274,8472,141934,293509,35601,27129,1130029,2018
0,"Accomack, VA",1119986,67460,181644,129706,858335,25567,20126,132313,1580822,57189,49695,1606389,-129338,355088,392966,32325,3801,77315,246497,19926,16125,796174,2019
1,"Albemarle + Charlottesville, VA*",8516598,503727,1099244,847618,6196611,-1492,-11201,927536,11925057,861952,75885,11923565,-1392451,4541613,1185341,157126,27056,850751,1523053,136653,109597,6142794,2019
2,"Alexandria (Independent City), VA",10464576,610359,1205799,1148492,10129189,0,0,1184605,14296000,794110,89884,14296000,849218,3239706,927105,159050,26977,794110,1780045,124505,97528,7890421,2019
3,"Alleghany + Covington, VA*",501496,38180,65423,58456,412284,-444,-783,67408,821559,18452,40015,821115,-21804,131915,276916,20520,1424,17669,94651,9760,8336,389176,2019
4,"Amelia, VA",170244,13804,19010,15622,353626,12812,9223,21615,559980,24982,43865,572792,204997,78275,140891,13058,1813,34205,26821,4615,2802,109218,2019
5,"Amherst, VA",469950,38937,64076,49606,661161,-787,-1537,63740,1190613,35007,37560,1189826,254951,182621,346044,31678,2935,33470,88879,11571,8636,347601,2019
6,"Appomattox, VA",173150,16319,24220,16908,356267,-2546,-3399,24773,624064,20654,39084,621518,207890,88961,176290,15902,1757,17255,32674,5308,3551,123221,2019
7,"Arlington, VA",26118990,1456928,2994913,2799020,17124579,0,0,2856438,23390078,1412876,98116,23390078,-6137973,5132688,1132811,238392,35307,1412876,4394423,241448,206141,20311691,2019
8,"Augusta, Staunton + Waynesboro, VA*",3215529,223273,396442,331416,3267718,25425,17967,388981,5519631,319772,44917,5545056,441170,1037180,1240158,123452,13897,337739,562150,66458,52561,2315640,2019
9,"Bath, VA",135703,9449,17580,14588,114862,1488,999,16743,272339,6350,65682,273827,-4098,105319,53646,4169,594,7349,24874,2986,2392,103480,2019
10,"Bedford, VA*",1189208,100154,136570,122348,2180296,-5660,-7505,161328,3727551,147709,46857,3721891,1152416,722491,819104,79431,10292,140204,197744,30939,20647,851260,2019
11,"Bland, VA",138487,10278,22522,14820,120812,258,-91,17688,232125,8699,36933,232383,13,35741,75830,6292,668,8608,29932,2821,2153,99947,2019
12,"Botetourt, VA",731961,54930,86862,78130,1036106,-2306,-3588,93995,1711398,56513,51018,1709092,398140,319912,353074,33500,4283,52925,125927,16612,12329,553109,2019
13,"Brunswick, VA",198299,17557,29509,21816,255914,-792,-2600,28465,535511,8072,33056,534719,86080,81478,197327,16176,1360,5472,40417,5364,4004,152410,2019
14,"Buchanan, VA",495288,39893,62281,51070,367404,-296,-351,65428,773354,47883,36758,773058,-62456,87464,318190,21031,1106,47532,87816,8084,6978,359940,2019
15,"Buckingham, VA",213881,17509,32501,21530,284436,2029,925,28274,519497,20267,30438,521526,98829,74072,163018,17134,1553,21192,43266,5158,3605,149423,2019
16,"Campbell + Lynchburg, VA*",4670118,302204,531780,522744,2788659,57,-1971,563576,5169824,209356,37702,5169881,-1317883,891779,1489443,137124,13302,207385,793152,90810,77508,3669581,2019
17,"Caroline, VA",385963,30089,58319,40376,847477,2353,502,50277,1341030,33655,43694,1343383,511791,219950,275956,30745,3090,34157,78507,9712,6622,273299,2019
18,"Carroll + Galax, VA*",601741,49830,80197,64844,648234,648,-1446,82252,1291416,54536,35549,1292064,128745,182962,460868,36346,3657,53090,112619,16386,12729,436032,2019
19,"Charles City, VA",122030,9676,14366,12454,181328,4558,3364,15903,328231,9561,47753,332789,75201,70563,80898,6969,758,12925,20593,2587,1829,88512,2019
20,"Charlotte, VA",163439,14467,24165,16738,205157,-831,-2572,22836,423473,18742,35669,422642,64554,72017,145468,11849,1615,16170,32534,4766,3151,114735,2019
21,"Chesapeake (Independent City), VA",6844595,435812,802678,753614,8205304,5390,1074,812619,12266703,367816,50008,12272093,2173328,2023864,2042925,245403,26296,368890,1179485,137671,111375,5296220,2019
22,"Chesterfield, VA",10066532,650937,1133676,1062236,13109606,2177,1280,1182055,19455611,876338,55063,19457788,4225129,3438154,2910028,353376,45044,877618,1664794,193488,148444,7524120,2019
23,"Clarke, VA",303632,22004,30811,28680,606319,2828,-1001,36344,969580,58243,66713,972408,339031,234620,131469,14576,2606,57242,45151,6973,4367,201239,2019
24,"Craig, VA",45137,4865,6589,4202,107791,-1451,-1956,6966,200429,7876,38810,198978,69620,35685,55502,5127,642,5920,8690,1452,810,30527,2019
25,"Culpeper, VA",1169965,79429,133658,115120,1645902,3341,-2054,136989,2494940,183565,47386,2498281,612926,414541,437838,52722,6562,181511,191218,23843,17281,797236,2019
26,"Cumberland, VA",86337,8128,11270,7314,219094,6230,5192,11785,374119,15992,38161,380349,144542,52260,108995,9967,1028,21184,14927,2404,1376,50226,2019
27,"Dickenson, VA",209001,19685,31731,21944,205200,-354,-421,30657,479579,9635,33524,479225,26856,54857,219168,14295,703,9214,42703,4475,3772,157084,2019
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",1856197,129819,238657,210662,1650933,-2502,-3632,235150,3112517,65660,40661,3110015,29886,477328,981754,76486,6963,62028,343988,41676,34713,1450181,2019
29,"Essex, VA",192916,15735,24431,20744,238063,-3699,-4518,26107,471169,18773,42746,467470,71254,97329,132078,10936,1289,14255,34803,5178,3889,143858,2019
30,"Fairfax, Fairfax City + Falls Church, VA*",86066941,5166567,7675958,8914642,71279737,14822,12854,9623888,102379618,6387410,86031,102394440,-5163316,24048682,7066021,1190204,189384,6400264,12133279,935200,745816,67533398,2019
31,"Fauquier, VA",1921075,125435,197482,177416,3380659,11507,97,214143,5116670,348058,71927,5128177,1673727,1189989,557529,71297,12218,348155,286190,36841,24623,1286730,2019
32,"Floyd, VA",186821,17322,23033,18394,345484,-1201,-4552,26519,621266,33726,39255,620065,185182,107035,167546,15796,2560,29174,32230,6400,3840,125417,2019
33,"Fluvanna, VA",321422,27505,40718,29124,752406,-975,-1511,42067,1246102,60048,45666,1245127,473051,252520,240201,27266,3196,58537,55280,7873,4677,207605,2019
34,"Franklin, VA",876246,72881,105317,88204,1256632,1186,-3344,116983,2351037,125793,41866,2352223,497369,494303,601288,56185,6595,122449,149419,22879,16284,604378,2019
35,"Frederick + Winchester, VA*",4299769,271097,496876,447390,4056851,-5606,-9640,494792,6105645,447038,51907,6100039,251874,1075441,967747,117519,14139,437398,720571,76886,62747,3141800,2019
36,"Giles, VA",290150,23572,40730,30300,380791,-746,-1231,38722,675977,23773,40450,675231,129363,96446,197994,16693,1614,22542,55880,6521,4907,211728,2019
37,"Gloucester, VA",555980,44535,73089,55916,1144670,1419,798,72493,1882903,62794,50250,1884322,661183,357020,382632,37499,3844,63592,101047,14212,10368,391341,2019
38,"Goochland, VA",2395438,146525,180627,228208,1440807,-2301,-3852,260629,2494253,193746,104052,2491952,-694002,808089,243056,23949,4723,189894,294731,23430,18707,1910813,2019
39,"Grayson, VA",151162,16977,26083,16058,236965,-12549,-14128,25006,511870,21341,32061,499321,110809,78208,184148,15574,1966,7213,34112,5514,3548,109837,2019
40,"Greene, VA",257758,20545,27173,22644,587744,881,-17,31867,915063,61687,46025,915944,361853,153769,174431,19901,2405,61670,38495,6527,4122,157593,2019
41,"Greensville + Emporia, VA*",421851,28557,62323,46496,286421,4724,3809,51805,537703,5801,32485,542427,-83625,68696,187310,16698,1195,9610,85571,9252,8057,326670,2019
42,"Halifax, VA",703259,54245,98567,75702,634012,-378,-3664,92096,1264445,49861,37140,1264067,22849,200627,429428,34035,3212,46197,136418,16289,13077,520644,2019
43,"Hampton (Independent City), VA",4610261,271177,769292,549030,3343308,0,0,545692,5713242,104901,42305,5713242,-721261,983059,1386875,135048,12737,104901,1043807,77430,64693,3461553,2019
44,"Hanover, VA",3751465,241452,374746,384238,4545257,11958,5233,433571,6670373,452086,62141,6682331,1227363,1228771,908303,107535,15179,457319,566865,73913,58734,2727281,2019
45,"Henrico, VA",18779549,1135068,1555376,1688924,15750443,1721,685,1979530,22473581,4095433,67592,22475302,-1049576,4032916,2691943,332513,47548,4096118,2399838,256481,208933,12283593,2019
46,"Henry + Martinsville, VA*",1310069,103418,172207,139780,1195201,9901,9192,173308,2465140,98049,39183,2475041,58440,398799,881041,63167,4709,107241,242097,31483,26774,960731,2019
47,"Highland, VA",31463,2823,4323,2508,32429,4225,3599,4077,91922,4080,44185,96147,5043,35985,27733,2176,649,7679,5577,1204,555,18207,2019
48,"Isle of Wight, VA",710178,52627,79738,75320,1364882,11177,9595,90287,2080619,45769,55930,2091796,744991,345582,381332,37400,4227,55364,117398,15662,11435,537416,2019
49,"James City + Williamsburg, VA*",2736840,188229,328421,290122,3209866,-3417,-4007,333290,5990310,235025,65176,5986893,806316,1782748,994279,91857,11830,231018,473482,58761,46931,2032340,2019
50,"King George, VA",1509430,83437,277093,170334,1013153,300,-121,168604,1487910,82079,55158,1488210,-327673,279401,195656,26981,2478,81958,362260,15892,13414,1065212,2019
51,"King William, VA",278696,21172,31332,29210,541457,-334,-927,35777,825855,28950,48001,825521,298538,129256,154808,17198,1882,28023,45937,6305,4423,204736,2019
52,"King and Queen, VA",74308,7029,9270,7110,185904,1361,425,10584,311081,12206,44565,312442,122180,49456,77082,7011,730,12631,12825,1906,1176,48852,2019
53,"Lancaster, VA",278641,22778,30680,27430,233776,511,145,36493,643375,39393,60635,643886,-8372,246210,163900,10619,1931,39538,44395,6996,5065,194708,2019
54,"Lee, VA",240052,24190,43395,24906,308684,-5621,-6478,36643,704859,24700,29704,699238,105275,88000,302554,23540,2242,18222,55848,6871,4629,165982,2019
55,"Loudoun, VA",17256444,1015671,1670915,1749314,26539255,9216,-2137,1890328,33402363,1588533,80535,33411579,11173139,5068759,1803565,414872,63185,1586396,2545572,254097,190912,13124476,2019
56,"Louisa, VA",758588,54422,98762,77026,976635,397,-956,92935,1634283,82489,43618,1634680,310982,298721,359324,37477,4443,81533,137275,14882,10439,539780,2019
57,"Lunenburg, VA",143073,13028,22044,14924,190458,-2189,-4015,20490,405130,10643,32890,402941,67875,76028,136455,12251,1184,6628,29506,4002,2818,106939,2019
58,"Madison, VA",201605,16254,22941,19244,374548,-2098,-4745,25876,644261,42397,48601,642163,198819,143545,124070,13213,2459,37652,32563,5826,3367,131390,2019
59,"Mathews, VA",104828,10582,11379,8540,243016,1149,1099,14852,495688,29848,56574,496837,153040,139105,114716,8782,1266,30947,15649,3046,1780,58232,2019
60,"Mecklenburg, VA",607339,49047,79487,65884,538513,-4997,-9670,81989,1149157,44601,37241,1144160,13163,215422,390225,30723,3057,34931,112429,15401,12344,459979,2019
61,"Middlesex, VA",205691,17311,27687,19118,244102,1150,111,26870,556824,30647,52833,557974,65281,167275,146597,10561,1660,30758,37246,5314,3654,137687,2019
62,"Montgomery + Radford, VA*",3439979,207282,544742,356718,2653188,4308,1456,385641,4368019,205088,37377,4372327,-401150,959177,759962,116979,10914,206544,723101,64863,53949,2510334,2019
63,"Nelson, VA",259997,21973,30464,23274,376267,2776,164,33610,773522,55075,52216,776298,149880,211752,188279,14867,2407,55239,42101,6689,4282,162657,2019
64,"New Kent, VA",344016,26625,38821,33246,1264764,-2488,-2687,43248,1714138,62093,74471,1711650,963996,239852,207034,22984,3298,59406,55444,8583,5285,229166,2019
65,"Newport News (Independent City), VA",8511159,490488,1192017,1000516,4567517,0,0,990746,7467480,240590,41547,7467480,-2952896,1256498,1643465,179736,17374,240590,1692275,132486,115112,6578294,2019
66,"Norfolk (Independent City), VA",13395684,744926,2167004,1604474,5469687,0,0,1547163,9610101,125227,39453,9610101,-6378834,2044641,2095773,243581,24079,125227,2969241,193566,169487,10301216,2019
67,"Northampton, VA",253591,17284,28481,22834,356693,49477,38728,28701,610611,24414,55940,660088,131803,133746,169649,11800,1867,63142,39898,6370,4503,150551,2019
68,"Northumberland, VA",205444,19058,23339,20620,266557,2904,2112,29368,652150,26402,54276,655054,90481,208653,179844,12069,1646,28514,33649,4491,2845,143281,2019
69,"Nottoway, VA",343598,24007,62978,38910,248330,8792,6821,43462,530191,7181,35445,538983,-51806,99136,191517,15206,1393,14002,82433,7586,6193,247163,2019
70,"Orange, VA",640100,47744,76722,62166,1117928,26441,17111,78827,1842280,80962,50587,1868721,556655,377255,373538,36941,4409,98073,107805,15082,10673,434222,2019
71,"Page, VA",338311,28020,43466,35548,512494,21384,18869,45794,913180,35701,39043,934564,219977,162580,259490,23937,2587,54570,61240,8749,6162,222501,2019
72,"Patrick, VA",230975,21158,32344,23338,282987,2908,1294,32827,586915,26646,33528,589823,84839,96833,210003,17592,2061,27940,44013,6960,4899,159022,2019
73,"Pittsylvania + Danville, VA*",2110008,161860,271942,229704,1955473,10096,2706,276712,3820896,121119,38117,3830992,122177,559895,1315624,100506,9350,123825,386794,49555,40205,1599389,2019
74,"Portsmouth (Independent City), VA",4430689,246547,849649,514532,2223456,0,0,503813,3857256,153513,40782,3857256,-1703420,621620,1012180,94582,8607,153513,1106915,61320,52713,3170261,2019
75,"Powhatan, VA",521025,38801,58623,49416,1163750,1094,403,63509,1742865,82538,58652,1743959,706234,329051,251158,29734,4107,82941,83331,12434,8327,354753,2019
76,"Prince Edward, VA",526704,36020,76279,57612,371319,2526,1647,64826,719290,26405,31621,721816,-90559,125965,224532,22827,2012,28052,105085,12356,10344,393567,2019
77,"Prince George + Hopewell, VA*",2565215,137891,476390,307248,1397517,-1985,-2383,291515,2373513,93882,38845,2371528,-876183,395557,578454,61051,4531,91499,630014,36808,32277,1843702,2019
78,"Prince William, Manassas + Manassas Park, VA*",13821530,825234,1623688,1448030,22065067,-238,-2752,1549249,29818310,1522363,56181,29818072,9792786,4640361,3112644,530752,73304,1519611,2347703,254845,181541,9954216,2019
79,"Pulaski, VA",867140,62265,115290,102898,759564,1159,-139,113714,1360063,41701,40025,1361222,6138,200562,401096,34009,2817,41562,166739,18103,15286,658839,2019
80,"Rappahannock, VA",130403,10660,10746,9270,256095,-1899,-3547,15295,504005,52392,68110,502106,140987,173467,72544,7372,1787,48845,15381,3488,1701,66177,2019
81,"Richmond (Independent City), VA",14931755,881642,1780724,1531298,7437338,0,0,1647291,12750699,1162921,55191,12750699,-5847126,3254085,2059276,231027,31527,1162921,2546373,204415,172888,11222461,2019
82,"Richmond, VA",178841,12785,28400,18352,175658,2784,737,21961,333176,10867,37057,335960,18778,71602,88700,9066,967,11604,37576,4170,3203,129661,2019
83,"Roanoke (Independent City), VA",4663469,291624,554444,539960,2261475,0,0,561604,4215302,208394,42486,4215302,-1840390,835817,1118010,99216,9721,208394,824424,81099,71378,3630651,2019
84,"Roanoke + Salem, VA*",4087174,272427,494005,428860,3819250,31,-698,486857,6232127,362532,52094,6232158,218933,1206467,1206441,119632,13039,361834,708435,76160,63121,3016905,2019
85,"Rockbridge, Buena Vista + Lexington, VA*",814783,59193,107302,88344,747773,802,-1136,103365,1496780,81745,41029,1497582,36355,382203,367606,36501,4463,80609,151474,19605,15142,582700,2019
86,"Rockingham + Harrisonburg, VA*",4385580,269136,521585,438542,3465586,119739,101771,488407,5356952,445553,40413,5476691,-431587,1004398,1006707,135519,16410,547324,740856,87230,70820,3097400,2019
