,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
405,191,7933,14.9,42242,washington county,53242,2013,1072,1176,16890,586904,1860766,120207,219986,181690,1540567,5864,1845,211052,2729004,348677,37873,2734868,-109147,532564,661737,72211,8395,350522,310831,41141,32746,1199413
406,193,2679,15.3,45927,westmoreland county,17510,2013,306,324,2399,61221,168735,13572,22336,16998,314766,13484,7457,22071,626508,18284,36461,639992,168102,165454,159772,17553,2069,25741,30835,5822,3753,112159
407,195,7277,19.3,37490,wise county,37705,2013,637,773,10295,386003,881853,60911,132344,98600,654362,1064,941,110211,1305962,45557,29183,1307026,-117280,172653,480011,44788,2889,46498,181644,21014,18125,653711
408,197,4391,15.1,41168,wythe county,29079,2013,629,689,9454,312619,542026,37185,78533,60172,458017,5149,1937,67271,849275,43473,29176,854424,-16738,126219,270188,29285,3418,45410,108619,15533,12115,387997
409,199,3934,6.0,78327,york county,65567,2013,1266,1407,16731,512794,1325463,83055,174362,146892,2695133,863,-143,156501,4058756,142960,51954,4059619,1526171,889569,474917,78139,6713,142817,247808,32168,25455,934838
410,510,12916,8.8,85562,alexandria city,146773,2013,4150,4640,83411,4831828,9823818,548705,1059882,1086108,8391356,0,0,1091759,11516425,1053891,76896,11516425,-340703,2459903,665166,149767,21792,1053891,1602936,122829,101037,7166991
411,550,21593,9.6,66516,chesapeake city,224927,2013,4542,5328,86962,3366227,5516147,333560,663068,635100,6946380,9468,3831,651110,10113904,349684,43935,10123372,2081343,1724975,1452017,230415,21243,353515,980618,123596,102353,4182014
412,650,20671,15.6,45293,hampton city,132506,2013,1983,2376,40712,1549473,4152020,232097,673421,510542,3058958,0,0,487368,5093399,147691,37068,5093399,-605694,908574,1125867,137406,10323,147691,928692,76166,65843,3075637
413,700,30480,17.5,47421,newport news city,174171,2013,3093,3721,86291,4072177,7391404,405800,1096144,849750,4313984,0,0,830675,6753508,435098,37232,6753508,-2246745,1110345,1329179,181388,14181,435098,1521019,122239,108058,5435287
414,710,49457,23.3,42949,norfolk city,212262,2013,4193,5386,106493,4586180,13146346,660182,2188761,1673610,4892491,0,0,1496987,8627186,330646,35127,8627186,-6756868,1993851,1740844,245598,20012,330646,3025566,206771,186759,9790134
415,740,19427,20.9,43041,portsmouth city,92952,2013,1511,1696,27079,998752,3661853,196606,685371,453784,1955723,0,0,423498,3381948,82723,35184,3381948,-1282632,555697,870528,96123,7152,82723,912263,59595,52443,2666867
416,760,51290,25.4,39249,richmond city,201929,2013,5197,6000,122120,6443521,11992122,675796,1481523,1249434,5801780,0,0,1300513,9776386,1165025,45680,9776386,-4889829,2240925,1733681,214020,22643,1165025,2106240,180763,158120,8720857
417,770,22615,23.3,37223,roanoke city,97060,2013,2673,3180,66575,2750550,4229568,255343,507910,508302,2084567,0,0,509494,3692069,284487,37337,3692069,-1635507,665228,942274,98884,8903,284487,762061,81124,72221,3183020
418,800,9691,11.5,59468,suffolk city,84270,2013,1323,1492,20921,808205,1838163,113417,220568,201910,2513606,19343,6982,214372,3836384,152801,44922,3855727,889815,698142,643979,85832,8456,159783,321523,37384,28928,1356857
419,810,39666,9.0,62509,virginia beach city,440733,2013,9062,10720,149848,5666298,11749618,669260,1538032,1322862,13883889,4303,2390,1330691,21440977,1153055,47877,21445280,3464962,4716480,2844911,447922,49752,1155445,2199463,247262,197510,8394710
420,1,6319,19.4,38390,accomack county,32572,2014,658,742,8422,249829,721844,45980,104395,74114,639478,31914,24210,83037,1196347,65931,37229,1228261,671,260195,328588,32992,3920,90141,141452,17737,13817,490251
421,3,8982,9.1,67083,albemarle county,98703,2014,2342,2625,38494,1823698,6780785,385447,883127,685758,4975377,-4514,-18255,728326,8871049,755942,59358,8866535,-1077082,2989173,901985,149373,24677,737687,1226006,120623,95946,4817092
422,5,2450,15.8,45454,alleghany county,15506,2014,219,236,2283,73618,458083,32700,61325,51830,381626,-1812,-2296,58615,735145,28739,34282,733333,-17842,118327,233380,21391,1487,26443,87240,9789,8302,344400
423,7,1636,12.9,51738,amelia county,12682,2014,261,266,1815,54229,180052,11739,16748,13562,321486,24081,19003,18520,475710,42013,39313,499791,159954,68595,109710,12713,1709,61016,23529,4323,2614,95507
424,9,4179,13.7,43998,amherst county,30504,2014,535,571,6375,197629,476682,34197,70694,50370,609162,-1151,-2212,59382,1055704,39993,32777,1054553,191862,167023,278368,32174,2857,37781,95879,12477,9620,343022
425,11,2290,15.1,44397,appomattox county,15166,2014,281,285,2311,55692,152555,12690,21762,14684,302735,-1147,-2349,20032,519831,23684,33806,518684,170212,76646,139303,15343,1675,21335,29104,5085,3410,102116
426,13,19117,8.5,107143,arlington county,224906,2014,4890,6347,132820,10103799,20043970,1105171,2333630,2249988,14076009,0,0,2230165,18839913,1176522,83262,18839913,-3737796,3907195,856709,226274,31419,1176522,3458624,213861,182442,15408824
427,15,6977,9.8,57808,augusta county,71194,2014,1335,1415,19027,750386,2787892,181445,350755,282936,2813123,61743,51194,322913,4608976,325773,39086,4670719,348144,858628,998968,119498,13567,376967,492223,63206,49639,1918702
428,17,519,11.5,43852,bath county,4513,2014,121,122,2115,70408,126162,8336,15603,13062,106377,932,241,14867,223770,10539,49537,224702,-4918,73783,44542,4536,657,10780,22134,3168,2511,93248
429,19,7166,9.4,55507,bedford county,76234,2014,1309,1357,11809,439816,1088224,80776,125754,112386,1918317,-4201,-6809,136969,3139322,166880,40687,3135121,967062,580549,636255,77054,9520,160071,181947,29963,20443,746206
430,21,834,14.1,42624,bland county,5915,2014,73,78,1374,57153,120557,8215,20886,12656,112312,1234,729,14543,202503,8933,30935,203737,6298,32134,59291,6586,801,9662,27214,2878,2077,83681
431,23,2544,7.8,63646,botetourt county,32615,2014,678,719,9939,392133,581612,40979,71206,62452,958847,-905,-2722,72205,1490286,66596,45015,1489381,449440,259282,271252,33086,4135,63874,102432,14632,10497,415306
432,25,3205,21.9,37344,brunswick county,14635,2014,240,251,2271,72274,206635,15417,30441,22238,239034,4725,2155,26536,474939,13300,28526,479664,58935,70671,169959,16815,1335,15455,41560,5833,4498,149620
433,27,5095,23.2,32083,buchanan county,21961,2014,390,423,6380,286610,490209,36059,64486,53272,358489,-253,-330,62695,737348,30470,31817,737095,-69025,97494,281112,23167,1224,30140,91122,9095,7871,368947
434,29,3376,22.8,38731,buckingham county,14807,2014,243,257,1900,65613,194277,14046,29393,19216,247791,5159,3592,23654,440885,20663,26337,446044,77168,66351,131902,16936,1359,24255,39001,4904,3545,131021
435,31,7883,14.5,46663,campbell county,54366,2014,1057,1154,13945,530070,4097442,255045,483725,465264,2540905,3185,317,487677,4635635,209728,34740,4638820,-1068860,813281,1284634,133528,12783,210045,716357,86706,73923,3171040
436,33,3206,11.0,56099,caroline county,29145,2014,356,386,3699,126729,323850,23184,49921,34514,712136,-2503,-5118,40441,1125188,36243,37741,1122685,428727,193746,216803,29747,2596,31125,67178,8702,6106,225547
437,35,4998,17.0,38474,carroll county,29400,2014,391,409,4215,111730,570359,41965,78166,60924,579208,5714,2751,72427,1133203,62949,31107,1138917,81276,161688,398021,36613,3425,65700,108628,16298,12873,396031
438,36,919,13.1,49768,charles city county,7015,2014,142,144,1547,56878,106483,7522,12722,10556,164409,4188,2494,12800,277262,14876,40351,281450,70726,56000,61041,6975,584,17370,18000,2439,1855,71113
439,37,2496,20.7,36339,charlotte county,12058,2014,218,229,1806,50702,153547,11840,22649,14406,189192,3154,684,19043,363366,25667,30099,366520,54688,61956,115372,12177,1880,26351,29852,5026,3146,97344
440,41,27051,8.3,72972,chesterfield county,325916,2014,5978,7052,106893,4508623,8200769,501718,958396,896070,10831357,176,-1092,949753,15687132,681225,47219,15687308,3580341,2721641,2134310,332221,38599,680133,1406431,172283,133684,6114205
441,43,1162,8.2,70281,clarke county,14171,2014,347,357,2872,124135,273296,17579,27626,26916,494770,7040,1609,31037,778457,50869,54819,785497,252511,193912,96815,14329,2981,52478,41084,7233,4252,179734
442,45,644,12.4,46551,craig county,5194,2014,59,59,345,9362,41346,3803,5618,3900,99792,-811,-1522,5753,175410,8766,33726,174599,64199,30566,44241,5177,666,7244,7568,1414,748,26534
443,47,5219,11.0,62394,culpeper county,47445,2014,916,970,12166,482019,978577,61510,119423,99308,1319718,2401,-5238,111164,1998395,150890,40631,2000796,452305,357046,324032,49243,6807,145652,169077,23267,16460,663848
444,49,1861,19.0,41409,cumberland county,9795,2014,136,141,930,24181,82321,6359,10342,6534,187412,11028,9560,9626,311912,15161,32809,322940,114717,46243,89285,9843,855,24721,13609,2312,1457,43991
445,51,3165,21.3,32103,dickenson county,14859,2014,189,206,2047,67907,218988,17833,30857,22696,202110,-1412,-1498,29181,442950,16613,28774,441538,12303,55973,183455,15345,791,15115,42205,4928,4137,161668
446,53,3316,12.1,52288,dinwiddie county,27405,2014,332,346,4312,189161,1651119,107677,225580,184654,1526523,2331,741,200004,2791907,91310,35925,2794238,75408,436140,831575,77780,7644,92051,317907,41098,33454,1241161
447,57,1590,14.5,48277,essex county,10966,2014,286,299,3521,102636,187198,13552,24445,20592,219597,-5365,-6525,23848,411939,21775,36741,406574,56247,80437,106540,11066,1357,15250,34741,5551,4194,137207
448,59,75137,6.7,110507,fairfax county,1121448,2014,24639,30139,581452,43162326,70876369,4125780,6331171,7431282,61034324,6697,3917,7841421,86168008,6616000,73429,86174705,-2000624,19635478,5504903,1173577,176894,6619917,10046812,860180,683286,54209640
449,61,4980,7.4,89106,fauquier county,67297,2014,1691,1784,17262,717450,1560689,96308,166078,153426,2704206,138,-16030,173021,4123471,276313,60521,4123609,1316538,1004351,415052,68135,11017,260283,242791,34279,23262,1057615
450,63,2178,14.1,43355,floyd county,15447,2014,317,320,2090,58397,156775,12796,19724,14614,297566,459,-4283,20103,517692,36141,33347,518151,160894,89987,130598,15538,2520,31858,27031,5815,3295,97886
451,65,1946,7.9,64258,fluvanna county,24633,2014,384,396,2493,82135,270424,20709,36872,26364,612858,-1909,-2669,33891,1013275,43117,38929,1011366,376325,212477,186031,25980,3031,40448,50054,7794,4763,179922
452,67,8927,16.3,47419,franklin county,54767,2014,1106,1178,12513,338155,781373,57277,94688,79532,1112554,18791,12377,97043,2001339,117998,35904,2020130,428224,408805,498771,56265,6969,130375,134454,22897,15928,516544
453,69,6233,7.7,65485,frederick county,80948,2014,1355,1488,22730,888190,3389104,203462,411879,366060,3196807,-2397,-8105,386492,4771851,339395,43306,4769454,194195,849545,723102,110133,13483,331290,594909,70528,57045,2462905
454,71,2254,13.5,45979,giles county,16696,2014,258,287,3669,146536,286331,20640,40930,30390,346600,-353,-1039,35835,598935,27092,35518,598582,96104,89411,162571,16853,1716,26053,56125,6781,5065,204153
455,73,3539,9.7,58900,gloucester county,36485,2014,805,861,7128,191381,470383,33923,64590,47210,992831,1281,404,57528,1601707,59091,43280,1602988,579976,303616,306541,37038,3750,59495,88195,13846,10096,322693
456,75,1567,7.5,86610,goochland county,20893,2014,589,633,0,0,1502153,90405,129626,156076,1074952,-542,-2735,168443,1819576,67830,82608,1819034,-258758,556722,187360,22020,3573,65095,207664,18555,14982,1229394
457,77,2969,19.9,31893,grayson county,14920,2014,153,158,1749,47049,127769,12355,21340,12648,216939,-982,-3216,18679,438734,20200,27488,437752,107849,67454,153359,15925,1971,16984,27664,4757,2786,83121
458,79,1816,9.6,61762,greene county,18917,2014,317,328,2413,70159,210137,15091,22852,18932,481738,1151,-113,24557,731673,49820,38306,732824,296158,120676,130410,19131,2068,49707,32318,5758,3690,128112
459,81,2165,25.1,36459,greensville county,8625,2014,96,99,1803,49876,364838,23289,57591,41892,253985,3772,2481,44235,473026,7521,27763,476798,-66618,63306,159507,17174,1262,10002,78537,9376,8114,276299
460,83,6180,18.0,39079,halifax county,34333,2014,656,718,9670,332231,629462,44545,91937,69342,568335,2179,-2474,79216,1105561,48289,31465,1107740,18089,173486,365919,35205,3429,45815,126608,16337,12908,457039
461,85,6140,6.1,81940,hanover county,100656,2014,2827,3066,43788,1628285,2982365,182187,311992,319952,3721801,7300,-2214,342163,5320138,371127,52363,5327438,1081599,930963,674674,101740,13721,368913,471968,65976,52255,2141484
462,87,34985,11.0,62446,henrico county,318045,2014,7262,9002,164343,8201233,15577599,904366,1337491,1468404,13021775,1415,-53,1638568,18277745,3256050,56792,18279160,-917256,3138572,2118813,321863,42306,3255997,2071693,234757,192451,10249909
463,89,10553,20.5,34842,henry county,51478,2014,739,821,11119,355777,1192030,87220,158947,132306,1100471,7653,6656,153373,2196207,99471,33607,2203860,61814,363370,740019,65578,5646,106127,225100,31883,26237,860803
464,91,328,14.6,38636,highland county,2247,2014,88,89,390,8938,32459,2162,4284,2516,33709,7740,6857,3420,80915,2660,39613,88655,4670,32448,22498,2238,716,9517,5542,1349,633,17400
465,93,3633,10.2,64350,isle of wight county,35618,2014,603,637,7236,310605,646753,43462,78133,66798,1186021,3391,1157,76861,1748615,61230,48820,1752006,616129,274747,291238,35887,3708,62387,111532,15198,11490,472834
466,95,5680,7.9,75926,james city county,71899,2014,1530,1669,26468,956825,2332462,148723,283573,241830,2873382,-2746,-3577,269638,5018626,273776,57833,5015880,810558,1408824,733674,86731,11463,270199,404488,55080,43617,1657775
467,97,1060,14.8,46331,king and queen county,7162,2014,98,100,607,20522,1220238,66385,197845,139174,842748,-1771,-2371,135972,1232378,99548,48671,1230607,-241518,245667,142192,25284,2412,97177,267432,14191,11779,855629
468,99,1878,7.5,76206,king george county,25040,2014,418,488,6067,327774,232119,16096,26677,24120,406155,-823,-1657,28156,631374,31038,39036,630551,202192,107492,116904,16153,1781,29381,38737,5578,3797,164001
469,101,1409,8.8,64305,king william county,16011,2014,294,305,2911,140655,68518,5607,8578,6516,154097,720,-601,8865,255968,13223,36235,256688,94444,40915,61676,7084,773,12622,11836,1892,1119,44060
470,103,1491,13.7,45827,lancaster county,10883,2014,436,457,3903,137175,241087,18263,28149,25062,198968,-210,-724,30794,539544,28071,49649,539334,-11325,212104,128262,10863,2077,27347,40680,7013,4936,173060
471,105,6161,26.6,31429,lee county,23162,2014,253,277,2813,68149,237343,20365,40802,24812,299658,6,-1200,32771,651936,23349,26347,651942,95086,91439,260845,24744,2438,22149,53208,7377,4939,161986
472,107,14077,3.9,122641,loudoun county,360949,2014,8361,9486,136232,7817061,13064389,755859,1277196,1364368,20078799,-3815,-19891,1438043,25036907,1241514,69089,25033092,8452453,3760963,1193330,362330,49627,1221623,1959380,209683,160056,9883386
473,109,3920,11.5,60121,louisa county,34087,2014,508,535,6277,289790,625812,41683,84981,64844,778929,-717,-2638,74105,1294422,58955,37858,1293705,227222,246515,268261,34173,3857,56317,117403,13298,9441,452092
474,111,2565,22.4,37548,lunenburg county,11451,2014,170,175,1735,49394,131367,10344,20055,14106,173994,1401,-1186,17397,356584,11333,28685,357985,60024,66516,117475,12480,1088,10147,27108,3962,2874,94112
475,113,1598,12.3,52513,madison county,12992,2014,268,272,2719,85715,243084,16082,21114,17508,377754,1284,-2461,24836,598337,102818,46004,599621,159506,119572,102295,13034,2098,100357,29868,5497,3399,112859
476,115,927,10.6,58268,mathews county,8745,2014,174,176,1081,24091,88274,7967,9668,6932,216090,242,178,11433,433475,27365,49213,433717,139249,124257,93370,8813,1402,27543,13134,2991,1589,47597
477,117,6384,21.1,38500,mecklenburg county,30256,2014,704,783,9097,260306,533384,39258,73999,59634,475938,5229,-1383,69075,999718,38278,32296,1004947,11629,193214,335795,31117,3157,36895,103816,15401,12244,392673
478,119,1489,14.4,48921,middlesex county,10340,2014,313,325,2137,59816,183953,13770,24146,16630,210496,1462,-5,22085,451438,35809,42514,452900,48628,127839,114565,10653,1848,35804,32461,5279,3431,115688
479,121,21796,24.8,43484,montgomery county,87887,2014,1724,1936,27917,1001463,2870473,165311,466199,305658,2223909,6383,2351,318140,3625207,163317,31693,3631590,-328424,781716,625965,114588,10912,165668,619028,62398,51486,2085777
480,125,1975,13.4,48076,nelson county,14739,2014,360,370,3174,83861,222195,16601,27806,19526,329938,1872,-1817,26364,646799,53281,43632,648671,134107,170166,148567,14867,2671,51464,37569,6862,4191,133162
481,127,1201,6.2,72406,new kent county,19371,2014,337,347,2950,88592,238430,16937,28852,22826,991160,-438,-716,28350,1309871,47656,65403,1309433,781080,180409,137864,20021,2953,46940,40265,7108,4155,151225
482,131,2555,21.5,36822,northampton county,11884,2014,304,325,2855,91643,252422,15808,30656,25510,234005,30735,15507,28563,450958,26979,40028,481693,10146,112009,135679,12034,1821,42486,43411,6869,5048,166525
483,133,1750,14.3,51422,northumberland county,12238,2014,320,329,1685,55108,144074,13286,17980,14374,203890,1588,473,20473,543987,23762,44515,545575,80289,189296,152389,12256,1782,24235,25167,4390,2608,94672
484,135,3334,24.3,37996,nottoway county,13720,2014,282,302,3695,97434,302537,19729,55406,34774,220694,8127,5341,37116,461852,10756,30292,469979,-44727,85101,164184,15515,1452,16097,72793,7596,6144,213647
485,137,3672,10.7,59282,orange county,34318,2014,607,644,6183,232378,523456,36982,64998,52010,901015,10482,-2730,62987,1507084,78656,43468,1517566,440546,328200,288351,34912,4425,75926,91003,14364,9939,356527
486,139,3991,16.9,44851,page county,23615,2014,379,407,3882,111538,304774,21630,37504,30126,444715,34153,30600,36693,761702,38965,33458,795855,176634,140603,210537,23787,2704,69565,52567,8717,6013,182642
487,141,3934,21.9,34885,patrick county,17963,2014,273,285,4131,108392,232321,18372,32886,23908,269003,2054,-230,30326,530496,34488,29285,532550,67008,80339,183208,18185,2184,34258,44840,7475,5291,153223
